cand_id,rank,name,seed,when,metric,value
240,122,구립서대문노인전문요양센터,44,after,n_abandoned,48.0
240,122,구립서대문노인전문요양센터,44,after,n_immediate,119.0
240,122,구립서대문노인전문요양센터,44,after,n_over60,17.0
240,122,구립서대문노인전문요양센터,44,after,max_wait,155.50079345703125
240,122,구립서대문노인전문요양센터,44,after,pickup_mean,13.005707743588024
598,244,당산노외,44,before,n_calls,6148.0
598,244,당산노외,44,before,n_boarded,5626.0
598,244,당산노외,44,before,wait_mean,15.092280387878418
598,244,당산노외,44,before,wait_p50,9.859341621398926
598,244,당산노외,44,before,wait_p90,31.176605224609375
598,244,당산노외,44,before,n_abandoned,62.0
598,244,당산노외,44,before,n_immediate,214.0
598,244,당산노외,44,before,n_over60,17.0
598,244,당산노외,44,before,max_wait,100.8920669555664
598,244,당산노외,44,before,pickup_mean,12.281280879358734
598,244,당산노외,44,after,n_calls,6148.0
598,244,당산노외,44,after,n_boarded,5629.0
598,244,당산노외,44,after,wait_mean,14.536751747131348
598,244,당산노외,44,after,wait_p50,9.497793197631836
598,244,당산노외,44,after,wait_p90,30.241390228271484
598,244,당산노외,44,after,n_abandoned,57.0
598,244,당산노외,44,after,n_immediate,215.0
598,244,당산노외,44,after,n_over60,13.0
598,244,당산노외,44,after,max_wait,120.01236724853516
598,244,당산노외,44,after,pickup_mean,12.009139941246705
