timeline,survival,cum_abandon,n_at_risk
101.5,0.7094402611575056,0.2905597388424944,13504
102.0,0.7082156679140676,0.29178433208593235,13119
102.5,0.7071774089635188,0.29282259103648123,12786
103.0,0.7058901264638354,0.2941098735361646,12464
103.5,0.7048603605207286,0.29513963947927135,12176
104.0,0.7040958601013768,0.2959041398986232,11855
104.5,0.7030140439658262,0.29698595603417377,11596
105.0,0.7021522693984492,0.2978477306015508,11264
105.5,0.7004446042868091,0.2995553957131909,10994
106.0,0.6994788274638045,0.3005211725361955,10783
106.5,0.698489338212214,0.30151066178778596,10475
107.0,0.6974781231966225,0.3025218768033775,10203
107.5,0.6965755962164172,0.3034244037835828,9951
108.0,0.6957222575308653,0.30427774246913475,9724
108.5,0.6944160803802478,0.3055839196197522,9477
109.0,0.6933030959667599,0.3066969040332401,9231
109.5,0.6923143984005373,0.3076856015994627,9040
110.0,0.6913821577579425,0.30861784224205746,8836
110.5,0.6902691379054209,0.3097308620945791,8604
111.0,0.6890501052828861,0.3109498947171139,8413
111.5,0.6880519979077311,0.3119480020922689,8186
112.0,0.6869483275405105,0.3130516724594895,8002
112.5,0.686513449985666,0.313486550014334,7835
113.0,0.685003299101754,0.31499670089824605,7634
113.5,0.6838218595581067,0.3161781404418933,7439
114.0,0.6825208631119525,0.3174791368880475,7265
114.5,0.6814764599311314,0.3185235400688686,7075
115.0,0.6803045840533669,0.3196954159466331,6887
115.5,0.6795038070700498,0.32049619292995024,6730
116.0,0.6783846656506253,0.3216153343493747,6612
116.5,0.6775445977027144,0.32245540229728564,6388
117.0,0.6760417042844178,0.3239582957155822,6243
117.5,0.6753834188549604,0.32461658114503955,6107
118.0,0.674591877945942,0.325408122054058,5927
118.5,0.6730947852136845,0.3269052147863155,5775
119.0,0.6721460783743985,0.32785392162560145,5635
119.5,0.6713006747288656,0.32869932527113443,5510
120.0,0.6700690823638062,0.32993091763619375,5401
120.5,0.6689371232821703,0.33106287671782975,5283
121.0,0.6672804634661303,0.33271953653386965,5195
121.5,0.6657075198660084,0.3342924801339916,5036
122.0,0.6643708876401302,0.3356291123598698,4920
122.5,0.6625844735663864,0.3374155264336136,4792
123.0,0.6617475257987343,0.3382524742012657,4684
123.5,0.6608871346840633,0.33911286531593665,4582
124.0,0.6598630493375763,0.34013695066242366,4464
124.5,0.6594107329318607,0.3405892670681393,4345
125.0,0.6584913870775945,0.34150861292240553,4234
125.5,0.6561312107977315,0.3438687892022685,4123
126.0,0.6551696495867902,0.34483035041320975,4039
126.5,0.6540195869781279,0.3459804130218721,3940
127.0,0.6526790863223245,0.3473209136776755,3869
127.5,0.6519983139789979,0.3480016860210021,3808
128.0,0.6506069016502991,0.3493930983497009,3696
128.5,0.6495294935587953,0.3504705064412047,3590
129.0,0.6486158155326683,0.35138418446733166,3513
129.5,0.6473043951080469,0.35269560489195306,3447
130.0,0.6461559662269096,0.35384403377309037,3348
130.5,0.6449875769467784,0.35501242305322156,3278
131.0,0.643995322924483,0.356004677075517,3219
131.5,0.6431839969744325,0.3568160030255675,3128
132.0,0.6425616942735944,0.35743830572640556,3096
132.5,0.6408662262151933,0.3591337737848067,3000
133.0,0.6404302246487762,0.3595697753512238,2912
133.5,0.6393188935301404,0.3606811064698596,2872
134.0,0.6386400080685604,0.36135999193143964,2797
134.5,0.6372565354477644,0.3627434645522356,2747
135.0,0.6365496814373565,0.36345031856264354,2691
135.5,0.6353495167488898,0.36465048325111016,2634
136.0,0.6346187503211068,0.3653812496788932,2594
136.5,0.6331266888112923,0.3668733111887077,2541
137.0,0.6321057133972502,0.3678942866027498,2471
137.5,0.6313261405727438,0.36867385942725617,2404
138.0,0.630264951015169,0.369735048984831,2365
138.5,0.630264951015169,0.369735048984831,2365
139.0,0.6286096736824184,0.3713903263175816,2255
139.5,0.6283302916052261,0.37166970839477387,2250
140.0,0.6277540731373863,0.3722459268626137,2164
140.5,0.6271594635146371,0.37284053648536286,2105
141.0,0.626254165388378,0.37374583461162203,2068
141.5,0.6253328465114393,0.3746671534885607,2017
142.0,0.6237534613567716,0.37624653864322843,1963
142.5,0.6227870591560669,0.3772129408439331,1929
