cand_id,cand_name,gu,dongs,n_seed,n_dong_scope,n_calls_scope,before,delta,rate_pct,rate_sd,rate_lo,rate_hi,interval,sample_ok,total_delta_min,n_overlap,rank_rate,rank_total,rate_total_pct,rate_total_sd,before_total,after_total,obs_total_min,sim_obs_ratio,ref_grade,ref_gap_prev,ref_threshold_prev
613,복정역,송파구,송파구 위례동,3,6,1741,13.342738422590246,-0.7942880376890038,-5.945077751003558,0.8904476141757344,-7.204360843553647,-4.68579465845347,-5.95% ± 1.26%p,False,-1382.8554736165556,72,11,189,-9.449170670927705,0.5301649198403141,19.26078732808431,17.440379460652668,44.055969377433726,0.43718904839147715,하,0.18876550814390658,2.1610169829458683
276,국립농산물품질관리원 서울사무소,송파구,송파구 문정2동,3,12,3232,12.952857663401872,-0.7146099013510389,-5.514046906149553,1.1012121137100306,-7.0713960124078215,-3.956697799891285,-5.51% ± 1.56%p,True,-2309.6192011665576,105,12,22,-8.698251251626692,1.1408569304805443,18.220500946044922,16.634698232014973,42.535261371022564,0.4283622660059111,하,0.4310308448540052,2.8323594919945956
464,문정근린공원(구),송파구,송파구 문정1동,3,17,3794,12.973204741514328,-0.7001181025146916,-5.396443070671435,0.24078708393390624,-5.736967430415033,-5.055918710927836,-5.40% ± 0.34%p,True,-2656.2480809407402,55,13,7,-8.283814648642823,0.28534824719364243,18.18072255452474,16.67501958211263,42.73196250015856,0.4254595738367335,하,0.11760383547811859,2.2544591716605624
626,온수역(남),구로구,구로구 수궁동,3,7,2488,12.648678196557332,-0.6784358104131935,-5.361463169311908,0.7952247119059122,-6.4860807420234865,-4.23684559660033,-5.36% ± 1.12%p,True,-1687.9482963080254,86,14,128,-7.077048536786788,1.45407615272508,18.252090454101562,16.96046257019043,42.167027560448666,0.43285219542535275,하,0.034979901359526444,1.661759022500236
457,대청역 공영주차장(구),강남구,강남구 개포3동,3,18,3099,13.623306143160724,-0.7234040230550031,-5.309110640653988,0.9924830998954091,-6.712693700952167,-3.9055275803558094,-5.31% ± 1.40%p,True,-2241.8290674474547,109,15,29,-6.565622761049236,1.2759593090003498,17.415058135986328,16.269039789835613,44.737874025321865,0.3892687910500467,하,0.05235252865792006,2.543544806763853
296,구립서초 노인요양센터,서초구,서초구 서초1동 · 서초구 서초2동,3,14,2808,14.697120750245674,-0.7749700973687812,-5.267090673985156,1.2425934730908716,-7.024383216146554,-3.509798131823758,-5.27% ± 1.76%p,True,-2176.1160334115375,144,16,35,-6.092586181227293,1.4244807070282748,17.97001075744629,16.871387481689453,57.742975736081945,0.3112068702447792,하,0.0420199666688319,3.1806044978563652
394,밤고개로21길 공영주차장(구),강남구,강남구 세곡동,3,9,2847,13.00035062611502,-0.6821404573977053,-5.245773301552472,0.9271994543530596,-6.557031344923502,-3.9345152581814413,-5.25% ± 1.31%p,True,-1942.0538822112671,105,17,74,-8.150711422707053,0.5752752950943707,18.057283401489258,16.584619522094727,43.01286837426641,0.4198111886974854,하,0.0213173724326845,3.100798198864703
607,명일파출소,강동구,강동구 고덕1동 · 강동구 명일1동 · 강동구 명일2동 · 강동구 상일1동,3,13,4513,12.482924728240059,-0.6546436794651935,-5.245730376442313,0.5490629122584799,-6.022222593554324,-4.469238159330302,-5.25% ± 0.78%p,True,-2954.406925426418,75,18,1,-8.373966695414625,0.6439375495865777,17.315549850463867,15.864828745524088,37.65853756249378,0.45980409679289785,하,4.292511015879796e-05,2.155150955056629
433,갈현1동공영주차장(구),은평구,은평구 갈현1동 · 은평구 불광2동,3,9,3834,12.332771039119349,-0.6451911961588296,-5.227269861267977,0.9930861608269929,-6.631705778514538,-3.822833944021415,-5.23% ± 1.40%p,True,-2473.6630460729525,114,19,13,-7.511591566728906,1.4860203508916765,16.92067591349284,15.644465128580729,39.204633349704544,0.4315988817587133,하,0.018460515174336223,2.269528765575673
628,일원역,강남구,강남구 일원본동,3,15,3031,13.343286831856267,-0.6893004090105374,-5.167249070455536,0.8954106438680273,-6.433550946906925,-3.9009471940041465,-5.17% ± 1.27%p,True,-2089.2695397109387,108,20,46,-6.776526977554703,1.167447159695664,17.47183672587077,16.286112467447918,43.830660405571976,0.3986213432378414,하,0.06002079081244105,2.6743076442161633
