주차장명,주소,자치구,법정동,법정동코드,면수,위도,경도,소스,공공근거,UPIS대분류,UPIS시설명,고시번호,옥내외,옥내자주,옥외자주,현행차고지,현행차고지거리m,운영시간,급지,이용효율
홍은2동주민센터,서울특별시 서대문구 홍은동  273-10,서대문구,홍은동,11410118,26.0,37.5801371058,126.934188348,KOTSA,U_UPIS,공공청사,홍은3동사무소,11000NTC200602099640,혼합,21.0,5.0,,,,,
서대문소방서,서울특별시 서대문구 연희동  76-12,서대문구,연희동,11410117,34.0,37.5732221147,126.9360826134,KOTSA,U_UPIS,공공청사,서대문소방서,11000NTC199408184703,혼합,31.0,3.0,,,,,
서대문우체국,서울특별시 서대문구 창천동  98-3,서대문구,창천동,11410116,137.0,37.5608150084,126.9321454447,KOTSA,U_UPIS,공공청사,공공청사,11000NTC200907233607,옥내,137.0,0.0,,,,,
쎄미앙 오피스텔,서울특별시 서대문구 미근동  190,서대문구,미근동,11410104,15.0,37.5642754201,126.9674112822,KOTSA,U_UPIS,공공청사,치안본부청사(경찰청),11000NTC198512197469,혼합,5.0,1.0,,,,,
시립서대문노인종합복지관,서울특별시 서대문구 천연동  117-3,서대문구,천연동,11410106,15.0,37.5680570231,126.9591194213,KOTSA,U_UPIS,사회복지시설,사회복지시설,11000NTC200311155205,혼합,12.0,3.0,,,,,
북아현1동복지관,서울특별시 서대문구 북아현동  129-37,서대문구,북아현동,11410110,16.0,37.5594787971,126.9570325523,KOTSA,U_UPIS,공공청사,복합청사,11410NTC202107290002,옥내,16.0,0.0,,,,,
북가좌1동주민센터,서울특별시 서대문구 북가좌동  477,서대문구,북가좌동,11410119,12.0,37.5743044801,126.9102037424,KOTSA,U_UPIS,공공청사,공공청사,11000NTC201404037150,혼합,11.0,1.0,,,,,
서울 상암우체국,서울특별시 마포구 상암동  1685,마포구,상암동,11440127,11.0,37.5805194016,126.8832701149,KOTSA,U_UPIS,공공청사,"청사(공공업무시설,근린공공시설)",,옥외,0.0,11.0,,,,,
마포구육아종합지원센터,서울특별시 마포구 상암동  1686,마포구,상암동,11440127,11.0,37.5805088983,126.8835825942,KOTSA,U_UPIS,공공청사,"청사(공공업무시설,근린공공시설)",,옥내,11.0,0.0,,,,,
마포창업복지관,서울특별시 마포구 상암동  1640,마포구,상암동,11440127,36.0,37.5741539514,126.8899091372,KOTSA,U_UPIS,사회복지시설,사회복지시설,,혼합,33.0,3.0,,,,,
마포도서관,서울특별시 마포구 서교동  341-1,마포구,서교동,11440120,49.0,37.5542725672,126.9242429485,KOTSA,U_UPIS,문화시설,도서관,11000NTC199207213209,옥외,0.0,49.0,,,,,
신수동 복합청사,서울특별시 마포구 신수동  458,마포구,신수동,11440111,12.0,37.5470999249,126.935181533,KOTSA,U_UPIS,공공청사,동사무소,11000NTC200601059485,옥내,12.0,0.0,,,,,
시립마포노인종합복지관,서울특별시 마포구 창전동  140,마포구,창전동,11440114,13.0,37.5489254793,126.932206016,KOTSA,U_UPIS,사회복지시설,사회복지시설,11000NTC199608176304,옥내,13.0,0.0,,,,,
우리마포복지관,서울특별시 마포구 노고산동  1-50,마포구,노고산동,11440110,50.0,37.5558504521,126.9421862124,KOTSA,U_UPIS,사회복지시설,사회복지시설,11000NTC200601059483,옥내,50.0,0.0,,,,,
청파1동 주민자치센터,서울특별시 용산구 서계동  227-1,용산구,서계동,11170108,12.0,37.553942832,126.9675787484,KOTSA,U_UPIS,공공청사,청파1동청사,11000NTC200402055688,옥내,12.0,0.0,,,,,
갈월종합사회복지관,서울특별시 용산구 갈월동  51-19,용산구,갈월동,11170104,28.0,37.545785157,126.9748244414,KOTSA,U_UPIS,사회복지시설,사회복지시설,11000NTC199803057720,혼합,17.0,11.0,,,,,
대중음악 및 뮤지컬공연장,서울특별시 용산구 한남동  727-56,용산구,한남동,11170131,207.0,37.5407025699,127.002647735,KOTSA,U_UPIS,문화시설,문화시설,11000NTC201003044587,혼합,193.0,14.0,,,,,
한남제2동 주민자치센터,서울특별시 용산구 한남동  685-43,용산구,한남동,11170131,16.0,37.534568588,127.0004887726,KOTSA,U_UPIS,공공청사,한남2동청사,11000NTC200203262271,옥외,0.0,16.0,,,,,
용산노인종합복지관,서울특별시 용산구 한남동  108,용산구,한남동,11170131,12.0,37.5313356203,127.0064623807,KOTSA,U_UPIS,사회복지시설,사회복지시설,11170NTC202209130020,혼합,11.0,4.0,,,,,
구립한남노인요양원,서울특별시 용산구 한남동  820,용산구,한남동,11170131,14.0,37.5355988439,127.0107576704,KOTSA,U_UPIS,사회복지시설,사회복지시설,11000NTC201012235777,혼합,11.0,3.0,,,,,
새마을금고,서울특별시 중구 중림동  202,중구,중림동,11140171,16.0,37.5578673985,126.9669342026,KOTSA,U_UPIS,공공청사,파출소,11000NTC199803047717,옥내,16.0,0.0,,,,,
서울특별시 청사,서울특별시 중구 태평로1가  31,중구,태평로1가,11140103,101.0,37.5665844559,126.978204094,KOTSA,U_UPIS,공공청사,공공청사,11000NTC200812262523,옥내,95.0,0.0,,,,,
중구청청사,서울특별시 중구 예관동  120-1,중구,예관동,11140135,133.0,37.5637356947,126.9977589193,KOTSA,U_UPIS,공공청사,공공청사,11000NTC200903193005,옥내,133.0,0.0,,,,,
